Year,Table_Entry,Fragment,Lead
2017,14,CS(=O)(=O)Nc1ccc(F)c(F)c1,Nc1ccc(cc1)S(=O)(=O)Nc2ccc(Oc3ccc(Cl)c(c3)C(F)(F)F)c(C#N)c2
2017,15,CSc1nc(N)nc2[nH]c(C)nc12,Nc1nc(SCCc2ccccc2)c3nc[nH]c3n1
2017,16,Cc1cc(C)c2oc(N)nc2c1,Cc1cc(c2ccccc2)c3oc(N)nc3c1
2017,17,CNc1nc(Cl)nc2n(C)ncc12,FC(F)(F)c1ccc(cc1)C2(CC2)Nc3nc(Cl)nc4[nH]ncc34
2017,18,CC(C)c1nc2sc(C(=O)O)c(C)c2c(=O)[nH]1,CNc1nc(CCc2ccccn2)nc3sc(C(=O)O)c(C)c13
2017,19,Cn1cc(cc1C(=O)N)C(=O)c2cccc(Cl)c2Cl,Cn1cc(cc1C(=O)NCCNC(=O)c2cc(cn2C)C(=O)c3cccc(Cl)c3Cl)C(=O)c4cccc(Cl)c4Cl
2017,20,CC1CCc2ccccc2N1C(=O)C,C[C@H]1CN(C(=O)C2CC2)c3cc(ccc3N1C(=O)C)c4ccc(cc4)N5CCS(=O)(=O)CC5
2017,21,CCOC(=O)c1[nH]c(C)c2C(=O)CCCc12,Cc1[nH]c(c2CCCC(=O)c12)c3cc(NS(=O)(=O)C)ccc3Oc4ccccc4
2017,22,CNc1cc(=O)n(C)nc1c2ccccc2,CCS(=O)(=O)c1cnc2Oc3ccc(Cl)cc3CCCCOc4cc(=O)n(C)cc4-c2c1
2017,23,Cn1c(=O)ccc2ccccc12,Cc1cc2cc(NS(=O)(=O)c3ccc(C#N)cc3)ccc2n(C)c1=O
2017,24,COC(=O)c1c[nH]c2ccccc12,CNC(=O)c1c[nH]c2ccc(cc12)N3CCCc4cc(c5cnn(C)c5)c(cc34)C(F)F
2017,25,Cn1ncc(NCc2ccc(F)cc2)c(Cl)c1=O,CN1C[C@@H](C[C@@H](C1)c2ccccc2)Nc3cnn(C)c(=O)c3Br
2017,26,Nc1ncnc(Nc2ccccc2)n1,Clc1cnc(NCc2cccnc2)nc1Nc3ccc4NC(=O)Cc4c3
2017,27,CCNc1cc(nc2ccnn12)c3cccnc3,OC[C@@H]1C[C@H]2CN1c3cc(Nc4cc5CCC(=O)Nc5c(OCC=CCO2)c4)n6ncc(C#N)c6n3
2017,28,Cn1c(cc2ccccc12)C(=O)O,OC(=O)c1cc2ccccc2n1S(=O)(=O)c3ccc(OCc4cccc(Cl)c4)cc3
2017,29,COc1cccc(CC2CCCNC2)c1,CC(C)c1nc(N)n2CC(Cc3cccc4OCOc43)CCc12
2017,30,N#Cc1ccc2nncn2c1NCc3ccco3,C(Nc1ncc(c2ccc(CN3CCCC3)cc2)c4nncn14)c5ccco5
2016,1,Nc1cccc(c1)c2n[nH]c3ccccc23,OC(=O)/C=C\C(=O)Nc1cccc(c1)c2n[nH]c3ccc(NS(=O)(=O)c4ccccc4)cc23
2016,2,CN1CCCN(Cc2ccc(CN)cc2)CC1,CN1CCCN(Cc2ccc(cc2)c3ccc(CN4CCCN(C)CC4)cc3C#N)CC1
2016,3,NCCc1ccc(Cl)c(Cl)c1,OC(=O)c1cccc(NC(=O)CCNC(=O)CCNCc2ccc(c(Cl)c2)c3ccccc3)c1
2016,4,Fc1ccc(cc1)C(=O)Nc2ccc3CCNCc3c2,COc1cc(ccc1C(=O)Nc2ccc3CCNCCc3c2)c4cn[nH]c4
2016,5,c1ccc2cnccc2c1,CNc1cc2ccc(C#CCOc3ccc(CN4CCNCC4)c(c3)C(F)(F)F)cc2cn1
2016,6,CCCc1cc2[nH]c(=O)ccc2c(C)n1,CCc1cc2[nH]c(=O)c(C#N)c(c3ccc(NS(=O)(=O)C)cc3)c2c(C)n1
2016,7,c1n[nH]c2cnc(cc12)c3cccnc3,CCn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCNCC5
2016,8,O=C1CN2C(=NN1)COc3ccccc23,C[C@H]1N2C(=NNC1=O)COc3cc(c(NC4(C)CNC4)cc23)C(F)(F)F
2016,9,Brc1ccc2n(cnc2c1)c3ccccc3,Cn1cc(cn1)c2ccc3n(cnc3c2)c4ccc(CC(=O)Nc5cc(on5)C(C)(C)C)cc4
2016,10,NC1=NC2CCCCC2CS1,NC1=NC2CCC(CC2CS1)NC(=O)c3cccc(Cl)c3
2016,11,Clc1ccc2CCNC(=O)c2c1,COC(=O)Nc1ccc(c(c1)[C@H]2CCCN2C(=O)[C@H](Nc3ccc4CCNC(=O)c4c3)c5cc(OC)c(OC)cc5F)S(=O)(=O)C(C)C
2016,12,Clc1ccc2[nH]c(=O)ccc2c1,Oc1cc(=O)[nH]c2ccc(cc12)C(=O)N[C@@H](Cc3ccccc3)C(=O)NCc4cc(=O)[nH]c5ccc(Cl)cc45
2016,13,O=c1cc[nH]c(=O)[nH]1,COc1cccc(CNC(=O)C#Cc2cn(Cc3ccc(cc3)C(=O)O)c(=O)[nH]c2=O)c1
2016,14,CCOc1nn2c(=O)cc(C)[nH]c2c1C#N,CCCc1cc(=O)n2nc(NCc3c(F)cc(Cl)cc3F)c(C#N)c2[nH]1
2016,15,Nc1cc(n[nH]1)c2ccc(Cl)cc2,Cc1cc(cc(c1)C(F)(F)F)c2cc(NC(=O)c3ccc(cc3C)C(=O)O)[nH]n2
2016,16,Cc1ccc2cc(cc(O)c2n1)C(=O)N,CC(C)(C)c1nc(c2ccc[nH]2)c3cc(C(=O)N)c(N)nc3n1
2016,17,NC(=O)C(c1ccccc1)S(=O)(=O)O,OS(=O)(=O)C(C(=O)N1CCCC2CCCCC21)c3ccccc3
2016,18,Cc1c(Cl)nc(nc1Cl)C2CC2,Cc1nc(C)c(CNc2nc(OCCCc3ccc4ccccc4n3)nc(Cl)c2C)s1
2016,19,Cn1ccc(CNCCc2ccccc2)n1,Oc1ccccc1CNCCC2(CC3CC4CC(C3)C2)C4
2016,20,CC(C)C1Cc2[nH]c(=O)c(C#N)cc2CO1,Cc1cccc2c(=O)[nH]c3CC(OCc3c12)C(C)(C)CO
2016,21,OC(=O)c1ccccc1O,CCCCC(Oc1cc(O)c(cc1C#Cc2ccccc2OC(F)(F)F)C(=O)O)C(=O)NC3CCCCC3
2016,22,Cc1cc2ccccc2[nH]c1=O,Cc1cncc(c1)c2cnc(N[C@@H]3CCNC[C@H]3OCC4CCS(=O)(=O)CC4)c5[nH]c(=O)c(C)cc25
2016,23,CC1Cn2c(cc3cccc(S1)c23)C(=O)O,Cc1cc(OCCCc2c(C(=O)O)n3CCCc4c(Cl)ccc2c43)cc(C)c1Cl
2016,24,COC(=O)[C@@H](N)Cc1c[nH]c2ccccc12,Clc1sc(cc1Br)S(=O)(=O)NCCc2c[nH]c3ccccc23
